question,answer,final_score,failure_type,semantic_similarity,faithfulness,answer_relevance,context_recall,graph_score
Why is voriconazole contraindicated with vincristine in leukemia patients?,Dummy answer for: Why is voriconazole contraindicated with vincristine in leukemia patients?,0.809990546891816,success,0.7642409008710289,0.6347699616539386,0.9365193184327818,0.7688214214985983,1.0
What nutritional supplementation is mandatory for patients receiving pemetrexed chemotherapy?,Dummy answer for: What nutritional supplementation is mandatory for patients receiving pemetrexed chemotherapy?,0.5066994020203939,graph_reasoning_failure,0.6872817719722236,0.736027979705669,0.8563965507540505,0.7665463724379653,0.0
What is the severe drug interaction between ibuprofen and methotrexate and why is it clinically dangerous?,Dummy answer for: What is the severe drug interaction between ibuprofen and methotrexate and why is it clinically dangerous?,0.7820933876795659,hallucination,0.73527190216952,0.5397247788251283,0.7168482244949071,0.7678343063184212,1.0
Why must patients on mercaptopurine (6-MP) maintenance therapy for ALL avoid taking it with milk?,Dummy answer for: Why must patients on mercaptopurine (6-MP) maintenance therapy for ALL avoid taking it with milk?,0.4721892737912211,hallucination,0.7280062144030924,0.5019682540345491,0.6461744400789436,0.7669687933169178,0.0
Why should patients on oral targeted cancer therapies such as vemurafenib or lorlatinib avoid grapefruit?,Dummy answer for: Why should patients on oral targeted cancer therapies such as vemurafenib or lorlatinib avoid grapefruit?,0.5273609542554509,graph_reasoning_failure,0.7516569833977839,0.7468851326007053,0.8251541332640574,0.7624341635798739,0.0
What foods help relieve sore mouth (mucositis) during chemotherapy?,Dummy answer for: What foods help relieve sore mouth (mucositis) during chemotherapy?,0.8182879974149013,success,0.7611512310281893,0.6878796413809385,0.691337334103175,0.7618334991512845,1.0
What foods help with chemotherapy-induced constipation?,Dummy answer for: What foods help with chemotherapy-induced constipation?,0.8259627934109084,success,0.721729391989497,0.7733401955972299,0.6818122325595635,0.773879683473066,1.0
What is the interaction between allopurinol and mercaptopurine (6-MP) and how dangerous is it?,Dummy answer for: What is the interaction between allopurinol and mercaptopurine (6-MP) and how dangerous is it?,0.813095882755305,success,0.766196469815777,0.6517852343859176,0.7453820251236044,0.7643994746669414,1.0
What happens when a patient on furosemide for hypertension receives cisplatin chemotherapy?,Dummy answer for: What happens when a patient on furosemide for hypertension receives cisplatin chemotherapy?,0.8386270301428314,success,0.74173203490384,0.8134226211231499,0.6423062852330887,0.7671144772352466,1.0
A breast cancer patient is on tamoxifen and needs an antidepressant for depression. She is currently on sertraline. Is this a concern?,Dummy answer for: A breast cancer patient is on tamoxifen and needs an antidepressant for depression. She is currently on sertraline. Is this a concern?,0.4944014574969393,graph_reasoning_failure,0.7378758528833829,0.6086050361613173,0.9447437005791455,0.7565884719983049,0
What should I eat during chemotherapy if I have developed a sore mouth and also have diarrhea?,Dummy answer for: What should I eat during chemotherapy if I have developed a sore mouth and also have diarrhea?,0.5756288370391349,graph_reasoning_failure,0.7782998929494133,0.9322108222871373,0.5237405762638156,0.7784835234844175,0
A lung cancer patient on carboplatin-paclitaxel also takes carbamazepine for epilepsy. What is the concern and what should be done?,Dummy answer for: A lung cancer patient on carboplatin-paclitaxel also takes carbamazepine for epilepsy. What is the concern and what should be done?,0.5592044344921417,graph_reasoning_failure,0.7498195206085726,0.9052407250975492,0.5270143866261112,0.7660521664503005,0
What should a leukemia patient on maintenance mercaptopurine do when their doctor prescribes allopurinol for a gout flare?,Dummy answer for: What should a leukemia patient on maintenance mercaptopurine do when their doctor prescribes allopurinol for a gout flare?,0.5052822520137389,graph_reasoning_failure,0.7280694357787378,0.6691357653069064,0.9917245002316782,0.7651713410936809,0
What dietary and hydration measures should be taken before and after cisplatin administration to protect the kidneys?,Dummy answer for: What dietary and hydration measures should be taken before and after cisplatin administration to protect the kidneys?,0.48629897293204033,hallucination,0.7518078281693091,0.5376874785442324,0.8530338331117101,0.7660956438620056,0
What does the dermoscopy image of superficial spreading melanoma show?,Dummy answer for: What does the dermoscopy image of superficial spreading melanoma show?,0.5079634925437196,graph_reasoning_failure,0.7216829042826414,0.6842122010893846,0.6076600779635887,0.7730809052052516,0
What does the histology image of nodular melanoma in Figure 6 of the melanoma review show?,Dummy answer for: What does the histology image of nodular melanoma in Figure 6 of the melanoma review show?,0.5474644159405408,graph_reasoning_failure,0.7736580237845935,0.8115216491988118,0.6375017047544178,0.7653133948270026,0
What does Table 1 in the ALK lung cancer review summarize?,Dummy answer for: What does Table 1 in the ALK lung cancer review summarize?,0.5285909693083338,graph_reasoning_failure,0.7461677389775361,0.758980695632915,0.5499592251254559,0.7647225424424496,0
What does Figure 2 of the lung cancer review depict regarding ALK TKI resistance?,Dummy answer for: What does Figure 2 of the lung cancer review depict regarding ALK TKI resistance?,0.5631287912703355,graph_reasoning_failure,0.724253112670885,0.9660406523635187,0.9715867252541258,0.7632236349818314,0
What does Figure 1 of the breast cancer review illustrate?,Dummy answer for: What does Figure 1 of the breast cancer review illustrate?,0.5434800934442958,graph_reasoning_failure,0.7431189741964737,0.8414803981380137,0.6271129213137379,0.7612416077887552,0
What is the worldwide incidence of melanoma and which regions have the highest rates?,Dummy answer for: What is the worldwide incidence of melanoma and which regions have the highest rates?,0.8179135978951031,graph_reasoning_failure,0.7356648401914042,0.9770748339161885,0.7256769865240713,0.7684173721456162,0
What biomarkers guide treatment selection in advanced melanoma?,Dummy answer for: What biomarkers guide treatment selection in advanced melanoma?,0.505486527190702,graph_reasoning_failure,0.7269629057269594,0.6654344883081261,0.5239947264362703,0.7715537890549444,0
What treatment protocol is used for AML induction and what drugs does it include?,Dummy answer for: What treatment protocol is used for AML induction and what drugs does it include?,0.8705677140279149,success,0.7643465192770215,0.9287973831255603,0.7921169443765227,0.7775214080984825,1.0
What is CAR-T cell therapy and what results has it achieved in relapsed ALL?,Dummy answer for: What is CAR-T cell therapy and what results has it achieved in relapsed ALL?,0.7058315406841935,hallucination,0.7427712877390917,0.5965016743186002,0.9603085197101069,0.765908410976589,0
What nutritional measures should be taken when a diabetic patient receives dexamethasone as chemotherapy premedication?,Dummy answer for: What nutritional measures should be taken when a diabetic patient receives dexamethasone as chemotherapy premedication?,0.5702130062604915,graph_reasoning_failure,0.7320860523318823,0.9879048251729254,0.7286356105457097,0.7650311276317088,0
What are the eating problems that cancer patients on chemotherapy commonly experience?,Dummy answer for: What are the eating problems that cancer patients on chemotherapy commonly experience?,0.7011482477406101,hallucination,0.7665295800938136,0.561866922383558,0.547824251988368,0.7532544632933907,0
What are the key differences between basal cell carcinoma (BCC) and squamous cell carcinoma (SCC) in terms of origin and aggressiveness?,Dummy answer for: What are the key differences between basal cell carcinoma (BCC) and squamous cell carcinoma (SCC) in terms of origin and aggressiveness?,0.7826660445455699,graph_reasoning_failure,0.7520339399189427,0.8417730478858119,0.6977210296961489,0.7644018473741638,0
"What does Figure 10 in the melanoma review show, and what clinical tool does it represent?","Dummy answer for: What does Figure 10 in the melanoma review show, and what clinical tool does it represent?",0.5493638135348127,graph_reasoning_failure,0.7489085221564006,0.8557928935433105,0.8773272315028411,0.7676633908961521,0
Can taking herbal supplements or vitamin megadoses help fight cancer during chemotherapy?,Dummy answer for: Can taking herbal supplements or vitamin megadoses help fight cancer during chemotherapy?,0.5296639997673845,graph_reasoning_failure,0.7261206114843288,0.7948277699816169,0.5333997831671615,0.7643113116288124,0
What is the cure rate for stage IV osteosarcoma treated with the latest immunotherapy protocols?,Dummy answer for: What is the cure rate for stage IV osteosarcoma treated with the latest immunotherapy protocols?,0.4922059874123308,hallucination,0.758215386189834,0.5545960348163679,0.5913836329812894,0.7691108229605349,0
What is the recommended dietary approach for cancer patients who have developed lactose intolerance during treatment?,Dummy answer for: What is the recommended dietary approach for cancer patients who have developed lactose intolerance during treatment?,0.5328391604030234,graph_reasoning_failure,0.7735017848002265,0.7314164899655868,0.5654836107735248,0.7725266348491903,0
What is the interaction between morphine and vincristine and how does it affect eating?,Dummy answer for: What is the interaction between morphine and vincristine and how does it affect eating?,0.7978249268652058,success,0.7465652603533555,0.6003057288287587,0.595381193346523,0.7689710149672366,1.0
What are the key features of the Hyper-CVAD protocol used in ALL?,Dummy answer for: What are the key features of the Hyper-CVAD protocol used in ALL?,0.7395481633995994,graph_reasoning_failure,0.7326940154562542,0.7116950936138842,0.8473318035411923,0.7765400971097747,0
What is the EML4-ALK fusion gene and what are its clinical characteristics in NSCLC?,Dummy answer for: What is the EML4-ALK fusion gene and what are its clinical characteristics in NSCLC?,0.8010748825297684,graph_reasoning_failure,0.7469765380053353,0.8981653365910129,0.8072996313267773,0.7761155545011015,0
Can I eat normally after my cancer treatment ends?,Dummy answer for: Can I eat normally after my cancer treatment ends?,0.7567842884173124,graph_reasoning_failure,0.7291600566638184,0.7772232566614568,0.9205375216777045,0.7731776291778264,0
A melanoma patient on nivolumab also takes levothyroxine for hypothyroidism. What monitoring is required?,Dummy answer for: A melanoma patient on nivolumab also takes levothyroxine for hypothyroidism. What monitoring is required?,0.515790948725908,graph_reasoning_failure,0.7286944466820005,0.7161205435837825,0.5887378182904426,0.7697925300227568,0
What are the high-risk cytogenetic features that worsen prognosis in Ph-negative ALL?,Dummy answer for: What are the high-risk cytogenetic features that worsen prognosis in Ph-negative ALL?,0.7439712959465246,graph_reasoning_failure,0.7514367924694484,0.7124424806372636,0.8126737426381875,0.7655461158918869,0
What are the nutritional guidelines for managing immune colitis caused by ipilimumab or pembrolizumab?,Dummy answer for: What are the nutritional guidelines for managing immune colitis caused by ipilimumab or pembrolizumab?,0.521752576776279,graph_reasoning_failure,0.7713166596179661,0.6739887017815083,0.5533934089666279,0.7777991926729372,0
What are the main detection methods for ALK rearrangement in NSCLC and their key advantages and limitations?,Dummy answer for: What are the main detection methods for ALK rearrangement in NSCLC and their key advantages and limitations?,0.8018176901782305,graph_reasoning_failure,0.7647309036001312,0.8859656748732067,0.954194808490622,0.7671187542540534,0
What is blinatumomab and how effective is it for relapsed/refractory ALL?,Dummy answer for: What is blinatumomab and how effective is it for relapsed/refractory ALL?,0.7858536220154678,graph_reasoning_failure,0.7590970374641369,0.8482198259160543,0.7936939677207134,0.7591628641833224,0
What are the recommended eating strategies for cancer patients experiencing weight gain during steroid-containing chemotherapy?,Dummy answer for: What are the recommended eating strategies for cancer patients experiencing weight gain during steroid-containing chemotherapy?,0.5045176966750295,graph_reasoning_failure,0.7470677459244754,0.6329452696968518,0.8973000323449212,0.7690415947915826,0
What is the treatment protocol for first-line advanced melanoma with combined ipilimumab and nivolumab?,Dummy answer for: What is the treatment protocol for first-line advanced melanoma with combined ipilimumab and nivolumab?,0.6328195007495978,graph_reasoning_failure,0.746053910207742,0.7830218400083264,0.5216962113605083,0.7619947984280494,0.3333333333333333
What is the interaction between warfarin and methotrexate and how should it be managed?,Dummy answer for: What is the interaction between warfarin and methotrexate and how should it be managed?,0.7789764155882322,hallucination,0.7422093539234744,0.5249766886620983,0.7922812514928801,0.756591358393851,1.0
Does taking warfarin alongside cisplatin chemotherapy require any special monitoring?,Dummy answer for: Does taking warfarin alongside cisplatin chemotherapy require any special monitoring?,0.8084484257023252,success,0.7229068127007391,0.6880263542007785,0.6538377852801489,0.7698555552597395,1.0
Can a breast cancer patient taking low-dose aspirin safely receive capecitabine chemotherapy?,Dummy answer for: Can a breast cancer patient taking low-dose aspirin safely receive capecitabine chemotherapy?,0.8606698514602504,success,0.7549881429571651,0.8992598820994867,0.6733152027649244,0.7716071607660178,1.0
What is the interaction between fluconazole and cyclophosphamide and what is its clinical impact?,Dummy answer for: What is the interaction between fluconazole and cyclophosphamide and what is its clinical impact?,0.8029406026276997,success,0.7381688796591824,0.6411397987184296,0.8980987817426871,0.7663098949312959,1.0
Why should voriconazole be avoided in patients receiving etoposide chemotherapy?,Dummy answer for: Why should voriconazole be avoided in patients receiving etoposide chemotherapy?,0.8675587979829551,success,0.7551032907310646,0.9433490770762394,0.767063681042032,0.7617899767419388,1.0
What effect does carbamazepine have on etoposide chemotherapy effectiveness?,Dummy answer for: What effect does carbamazepine have on etoposide chemotherapy effectiveness?,0.8733951788238883,success,0.7400133329463697,0.9931631976333994,0.8575848917410611,0.7637926970664874,1.0
"What is the interaction between phenytoin and methotrexate, and what dietary precaution applies to tube-fed patients?","Dummy answer for: What is the interaction between phenytoin and methotrexate, and what dietary precaution applies to tube-fed patients?",0.533652899672684,graph_reasoning_failure,0.7535886765098909,0.7748063148159507,0.682035236779631,0.763075168782633,0
Can a patient on high-dose methotrexate safely receive ciprofloxacin for a bacterial infection?,Dummy answer for: Can a patient on high-dose methotrexate safely receive ciprofloxacin for a bacterial infection?,0.821050595019942,success,0.7248771959422177,0.7458896832896069,0.9753729816465404,0.7720474978967765,1.0
Why is co-trimoxazole (TMP-SMX) contraindicated during methotrexate therapy and what are the nutritional consequences?,Dummy answer for: Why is co-trimoxazole (TMP-SMX) contraindicated during methotrexate therapy and what are the nutritional consequences?,0.8046807539712204,success,0.7408891121601827,0.6506366256910014,0.5551329939092382,0.7614334759248271,1.0
What is the interaction between co-trimoxazole and cyclophosphamide in cancer patients?,Dummy answer for: What is the interaction between co-trimoxazole and cyclophosphamide in cancer patients?,0.8079485276749077,success,0.7434343141448643,0.6651454613516046,0.6701635489567663,0.759445705805637,1.0
What is the drug interaction between atorvastatin and paclitaxel and what dietary note applies?,Dummy answer for: What is the drug interaction between atorvastatin and paclitaxel and what dietary note applies?,0.5443351526139899,graph_reasoning_failure,0.7617319469194701,0.8146513304692806,0.8080073441857325,0.7644265122214641,0
What is the eating-related concern when amitriptyline and cisplatin are used together?,Dummy answer for: What is the eating-related concern when amitriptyline and cisplatin are used together?,0.4819749401977017,hallucination,0.7337295759285395,0.5446877083946534,0.679034485719815,0.7645926287010457,0
A hypertensive cancer patient on amlodipine is started on carbamazepine for seizures. What is the concern?,Dummy answer for: A hypertensive cancer patient on amlodipine is started on carbamazepine for seizures. What is the concern?,0.8559988559466687,success,0.7576107639194506,0.8810137134359999,0.6424141833009072,0.7625644204181672,1.0
Can a lung cancer patient on erlotinib continue taking omeprazole for acid reflux?,Dummy answer for: Can a lung cancer patient on erlotinib continue taking omeprazole for acid reflux?,0.5729386306581988,graph_reasoning_failure,0.7611902610445749,0.9624840612321787,0.8198045668447796,0.760423700491953,0
What is the role of mesna in preventing haemorrhagic cystitis during ifosfamide or cyclophosphamide treatment?,Dummy answer for: What is the role of mesna in preventing haemorrhagic cystitis during ifosfamide or cyclophosphamide treatment?,0.48682307350776705,hallucination,0.7427429126025957,0.5505384093756163,0.6543297951520988,0.7694625892593251,0
What eating side effects does gemcitabine cause and in which cancers is it used?,Dummy answer for: What eating side effects does gemcitabine cause and in which cancers is it used?,0.8239452844980344,success,0.722887120479333,0.7650918479610715,0.913622255896555,0.7703038938101006,1.0
What eating side effects does vinorelbine cause and how is it used in lung cancer?,Dummy answer for: What eating side effects does vinorelbine cause and how is it used in lung cancer?,0.6364785317372146,graph_reasoning_failure,0.7785217296712517,0.7545875018649189,0.7342222642970172,0.7600225623142763,0.3333333333333333
What eating side effects does dacarbazine cause and why was it historically significant in melanoma treatment?,Dummy answer for: What eating side effects does dacarbazine cause and why was it historically significant in melanoma treatment?,0.8294436179014377,success,0.7560552284388605,0.7383705290468825,0.5973548421251191,0.7747647178020156,1.0
What are the eating side effects of fluorouracil (5-FU) and what is the risk in DPD-deficient patients?,Dummy answer for: What are the eating side effects of fluorouracil (5-FU) and what is the risk in DPD-deficient patients?,0.8075268385281174,success,0.7654033941563511,0.6192631958254433,0.9887735188246278,0.7702659055806172,1.0
What eating side effects does L-asparaginase cause and what nutritional challenges does it create in ALL treatment?,Dummy answer for: What eating side effects does L-asparaginase cause and what nutritional challenges does it create in ALL treatment?,0.5642416449123981,graph_reasoning_failure,0.7455063011752852,0.9302320743873504,0.9908509029947287,0.7727166984117128,0
What is temozolomide and how is it used in melanoma with CNS metastases?,Dummy answer for: What is temozolomide and how is it used in melanoma with CNS metastases?,0.8131400655651742,graph_reasoning_failure,0.7208956233224996,0.9781580273264194,0.6174247187026796,0.7711146934608281,0
What is the role of epirubicin in breast cancer treatment and what eating side effects should be anticipated?,Dummy answer for: What is the role of epirubicin in breast cancer treatment and what eating side effects should be anticipated?,0.5475284722089723,graph_reasoning_failure,0.7516898986193986,0.8491011868693559,0.5902689312580485,0.7610063262464076,0
What is the exact dietary protocol approved by the FDA for preventing chemotherapy-induced peripheral neuropathy from paclitaxel?,Dummy answer for: What is the exact dietary protocol approved by the FDA for preventing chemotherapy-induced peripheral neuropathy from paclitaxel?,0.5223215917935302,graph_reasoning_failure,0.7338147737924524,0.7464811248636891,0.7839527561433184,0.7644046734152831,0
What is the recommended dose of inotuzumab ozogamicin for frontline ALL treatment?,Dummy answer for: What is the recommended dose of inotuzumab ozogamicin for frontline ALL treatment?,0.5752309915465824,graph_reasoning_failure,0.7504318657605099,0.9921029677901021,0.7510407541500416,0.7584041913020451,0
What is the recommended daily caloric intake for a cancer patient receiving high-dose chemotherapy for osteosarcoma?,Dummy answer for: What is the recommended daily caloric intake for a cancer patient receiving high-dose chemotherapy for osteosarcoma?,0.4884995226172184,hallucination,0.7624035453858672,0.538821805074744,0.6257975973472854,0.7600704899325471,0
What is NutritionGuideline NG001 and how does eating frequency help cancer patients manage nausea and appetite loss?,Dummy answer for: What is NutritionGuideline NG001 and how does eating frequency help cancer patients manage nausea and appetite loss?,0.789491963086258,hallucination,0.7573299571705824,0.5431355890770879,0.9808290929054503,0.7683292905983288,1.0
"What is NutritionGuideline NG002 and how much fluid should cancer patients drink daily, especially if they have vomiting or diarrhea?","Dummy answer for: What is NutritionGuideline NG002 and how much fluid should cancer patients drink daily, especially if they have vomiting or diarrhea?",0.869579322880148,success,0.7823169027486696,0.9087159531697161,0.8717388281857126,0.7657053071080191,1.0
What is NutritionGuideline NG004 and why does high-dose methotrexate in osteosarcoma require leucovorin rescue and IV hydration?,Dummy answer for: What is NutritionGuideline NG004 and why does high-dose methotrexate in osteosarcoma require leucovorin rescue and IV hydration?,0.5673066360925577,graph_reasoning_failure,0.7652981901169555,0.9192666045632714,0.8680140741698048,0.7693192907240839,0
What is NutritionGuideline NG010 and what oral rinse protocol reduces mucositis severity during chemotherapy?,Dummy answer for: What is NutritionGuideline NG010 and what oral rinse protocol reduces mucositis severity during chemotherapy?,0.8076411831472894,success,0.7410536182649183,0.6579173693895279,0.5995169206061137,0.7687081189495414,1.0
